time_s,nodeId,eventType
10.450,0,Rx Ack
10.450,0,Tx Ack
10.450,4,Rx Ack
10.607,10,Tx Ack
10.614,18,Rx Ack
10.614,18,Tx Ack
10.614,10,Rx Ack
10.618,18,Tx Data
10.618,10,Rx Data
10.618,10,Tx Ack
10.618,18,Rx Ack
10.622,18,Tx Data
10.622,10,Rx Data
10.626,18,Tx Data
10.626,10,Rx Data
10.626,10,Tx Ack
10.626,18,Rx Ack
10.630,18,Tx Data
10.630,10,Rx Data
10.634,18,Tx Data
10.634,10,Rx Data
10.634,10,Tx Ack
10.635,18,Rx Ack
10.638,18,Tx Data
10.638,10,Rx Data
10.642,18,Tx Data
10.643,10,Rx Data
10.643,10,Tx Ack
10.643,18,Rx Ack
10.646,18,Tx Data
10.647,10,Rx Data
10.650,18,Tx Ack
10.650,10,Rx Ack
10.650,10,Tx Ack
10.650,18,Rx Ack
10.650,18,Tx Ack
10.650,10,Rx Ack
10.809,11,Tx Ack
10.815,12,Rx Ack
10.815,12,Tx Ack
10.815,11,Rx Ack
10.819,12,Tx Data
10.819,11,Rx Data
10.819,11,Tx Ack
10.819,12,Rx Ack
10.823,12,Tx Data
10.823,11,Rx Data
10.827,12,Tx Data
10.827,11,Rx Data
10.827,11,Tx Ack
10.827,12,Rx Ack
10.831,12,Tx Data
10.831,11,Rx Data
10.835,12,Tx Data
10.835,11,Rx Data
10.835,11,Tx Ack
10.836,12,Rx Ack
10.839,12,Tx Data
10.840,11,Rx Data
10.843,12,Tx Data
10.844,11,Rx Data
10.844,11,Tx Ack
10.844,12,Rx Ack
10.848,12,Tx Data
10.848,11,Rx Data
10.850,12,Tx Ack
10.850,11,Rx Ack
10.850,11,Tx Ack
10.850,12,Rx Ack
10.850,12,Tx Ack
10.850,11,Rx Ack
12.403,19,Tx Ack
12.413,7,Rx Ack
12.413,7,Tx Ack
12.413,19,Rx Ack
12.417,7,Tx Data
12.417,19,Rx Data
12.417,19,Tx Ack
12.417,7,Rx Ack
12.421,7,Tx Data
12.421,19,Rx Data
12.425,7,Tx Data
12.425,19,Rx Data
12.425,19,Tx Ack
12.425,7,Rx Ack
12.429,7,Tx Data
12.429,19,Rx Data
12.433,7,Tx Data
12.433,19,Rx Data
12.433,19,Tx Ack
12.434,7,Rx Ack
12.437,7,Tx Data
12.437,19,Rx Data
12.441,7,Tx Data
12.442,19,Rx Data
12.442,19,Tx Ack
12.442,7,Rx Ack
12.445,7,Tx Data
12.446,19,Rx Data
12.450,7,Tx Data
12.450,19,Rx Data
12.450,19,Tx Ack
12.450,7,Rx Ack
12.450,7,Tx Ack
12.450,19,Rx Ack
12.450,19,Tx Ack
12.450,7,Rx Ack
12.450,7,Tx Ack
12.450,19,Rx Ack
13.009,19,Tx Ack
13.010,15,Rx Ack
13.010,15,Tx Ack
13.010,19,Rx Ack
13.014,15,Tx Data
