FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
33,10.0.0.15,10.0.0.2,12,12,0,0,763099,0.00739692
34,10.0.0.2,10.0.0.15,6,6,0,0,57407.8,0.00832002
35,10.0.0.1,10.0.0.5,13,13,0,0,854788,0.00669704
36,10.0.0.5,10.0.0.1,7,7,0,0,65539.2,0.00542559
37,10.0.0.19,10.0.0.11,12,12,0,0,764068,0.00849298
38,10.0.0.11,10.0.0.19,6,6,0,0,58882.2,0.00724742
39,10.0.0.13,10.0.0.12,12,12,0,0,764365,0.0104629
40,10.0.0.12,10.0.0.13,6,6,0,0,61809.6,0.00625762
41,10.0.0.8,10.0.0.20,13,13,0,0,855489,0.00471584
42,10.0.0.20,10.0.0.8,7,7,0,0,62652.6,0.0103845
43,10.0.0.16,10.0.0.20,13,13,0,0,855451,0.0106566
44,10.0.0.20,10.0.0.16,7,7,0,0,71936.3,0.00162812
45,10.0.0.15,10.0.0.4,13,13,0,0,856284,0.0065993
46,10.0.0.4,10.0.0.15,7,7,0,0,65472.1,0.00639798
47,10.0.0.11,10.0.0.10,11,11,0,0,671983,0.0122895
48,10.0.0.10,10.0.0.11,6,6,0,0,64933.1,0.00930142
49,10.0.0.8,10.0.0.5,12,12,0,0,764765,0.0104131
50,10.0.0.5,10.0.0.8,6,6,0,0,61781.3,0.00830987
51,10.0.0.4,10.0.0.3,15,15,0,0,1.03887e+06,0.00402984
52,10.0.0.3,10.0.0.4,8,8,0,0,70125,0.0018125
53,10.0.0.18,10.0.0.19,12,12,0,0,764431,0.0104904
54,10.0.0.19,10.0.0.18,6,6,0,0,61836.9,0.0052946
55,10.0.0.4,10.0.0.6,13,13,0,0,856290,0.00567167
56,10.0.0.6,10.0.0.4,7,7,0,0,64024,0.00838699
57,10.0.0.15,10.0.0.17,11,11,0,0,672933,0.0122845
58,10.0.0.17,10.0.0.15,6,6,0,0,65031.2,0.00923662
59,10.0.0.16,10.0.0.10,13,13,0,0,855173,0.00866832
60,10.0.0.10,10.0.0.16,7,7,0,0,68489.7,0.00538957
61,10.0.0.1,10.0.0.5,15,15,0,0,1.03772e+06,0.00283847
62,10.0.0.5,10.0.0.1,8,8,0,0,68337.7,0.00133677
63,10.0.0.10,10.0.0.18,11,11,0,0,673636,0.0121542
64,10.0.0.18,10.0.0.10,6,6,0,0,64896,0.00925462
65,10.0.0.4,10.0.0.5,15,15,0,0,1.02682e+06,0.00653083
66,10.0.0.5,10.0.0.4,8,8,0,0,72322.1,0.00180431
67,10.0.0.13,10.0.0.17,13,13,0,0,855409,0.00662579
68,10.0.0.17,10.0.0.13,7,7,0,0,65444.6,0.00645166
69,10.0.0.19,10.0.0.4,14,14,0,0,947410,0.0059458
70,10.0.0.4,10.0.0.19,7,7,0,0,64248.5,0.00349102
71,10.0.0.8,10.0.0.20,15,15,0,0,1.03893e+06,0.00283489
72,10.0.0.20,10.0.0.8,8,8,0,0,68339.3,0.00133642
73,10.0.0.15,10.0.0.4,15,15,0,0,1.03726e+06,0.00293078
74,10.0.0.4,10.0.0.15,8,8,0,0,68336.6,0.001337
75,10.0.0.5,10.0.0.3,15,15,0,0,1.03801e+06,0.00288434
76,10.0.0.3,10.0.0.5,8,8,0,0,68337.2,0.00133686
77,10.0.0.8,10.0.0.3,14,14,0,0,943325,0.00903694
78,10.0.0.3,10.0.0.8,7,7,0,0,68410.4,0.00249281
79,10.0.0.11,10.0.0.3,15,15,0,0,1.03857e+06,0.0028026
80,10.0.0.3,10.0.0.11,8,8,0,0,68337.6,0.00133678
81,10.0.0.20,10.0.0.12,15,15,0,0,1.03719e+06,0.00421038
82,10.0.0.12,10.0.0.20,8,8,0,0,70137.2,0.00174073
83,10.0.0.5,10.0.0.12,14,14,0,0,946993,0.00481001
84,10.0.0.12,10.0.0.5,7,7,0,0,62685.1,0.00547998
85,10.0.0.8,10.0.0.13,12,12,0,0,764094,0.00653793
86,10.0.0.13,10.0.0.8,6,6,0,0,56364.8,0.0092636
87,10.0.0.2,10.0.0.8,15,15,0,0,1.02823e+06,0.00460041
88,10.0.0.8,10.0.0.2,8,8,0,0,69573.6,0.00367609
89,10.0.0.18,10.0.0.10,15,15,0,0,1.03856e+06,0.00292274
90,10.0.0.10,10.0.0.18,8,8,0,0,68339.9,0.00133631
91,10.0.0.9,10.0.0.20,11,11,0,0,673050,0.0121502
92,10.0.0.20,10.0.0.9,6,6,0,0,64821.1,0.0102986
93,10.0.0.8,10.0.0.16,12,12,0,0,764647,0.00834954
94,10.0.0.16,10.0.0.8,6,6,0,0,58794,0.0083189
95,10.0.0.1,10.0.0.3,15,15,0,0,1.03675e+06,0.00297718
96,10.0.0.3,10.0.0.1,8,8,0,0,68337.2,0.00133687
97,10.0.0.20,10.0.0.18,12,12,0,0,763512,0.00864702
98,10.0.0.18,10.0.0.20,6,6,0,0,59030.1,0.00728355
99,10.0.0.16,10.0.0.8,15,15,0,0,1.0366e+06,0.00292072
100,10.0.0.8,10.0.0.16,8,8,0,0,68349.6,0.0013369
101,10.0.0.6,10.0.0.17,15,15,0,0,1.03866e+06,0.00289535
102,10.0.0.17,10.0.0.6,8,8,0,0,68349.4,0.00133694
103,10.0.0.16,10.0.0.3,14,14,0,0,943814,0.00503159
104,10.0.0.3,10.0.0.16,7,7,0,0,62578.5,0.00646965
105,10.0.0.14,10.0.0.10,13,13,0,0,854240,0.00883523
106,10.0.0.10,10.0.0.14,7,7,0,0,68601.9,0.00338317
107,10.0.0.3,10.0.0.19,14,14,0,0,947616,0.00485484
108,10.0.0.19,10.0.0.3,7,7,0,0,62696.3,0.00539017
109,10.0.0.2,10.0.0.13,11,11,0,0,673038,0.0102275
110,10.0.0.13,10.0.0.2,6,6,0,0,61728.7,0.00925491
