time_s,nodeId,x,y,z
23,9,274.245,-85.549,-17.038
23,10,267.952,-108.259,11.918
23,11,291.66,-69.565,-8.783
23,12,265.651,-74.123,-5.7
23,13,294.381,-97.631,6.128
23,14,279.386,-84.126,4.496
23,15,277.122,-93.406,1.883
23,16,268.957,-98.993,-8.139
23,17,281.641,-85.353,-10.621
23,18,263.337,-82.894,-0.301
23,19,274.193,-61.702,2.628
24,0,290.66,-80.652,9.397
24,1,302.452,-87.303,11.659
24,2,292.046,-109.424,-14.989
24,3,279.849,-103.534,-19.73
24,4,289.125,-100.552,-18.168
24,5,304.524,-83.229,-10.928
24,6,293.497,-106.946,2.876
24,7,294.442,-66.304,-12.338
24,8,295.691,-86.92,15.799
24,9,286.77,-88.793,-17.56
24,10,280.825,-103.87,11.274
24,11,305.537,-74.018,-6.884
24,12,278.003,-78.814,-5.394
24,13,307.413,-94.668,6.352
24,14,291.965,-83.343,5.775
24,15,288.529,-96.462,2.988
24,16,279.891,-96.287,-7.977
24,17,295.134,-83.605,-11.632
24,18,274.205,-80.399,0.077
24,19,286.43,-65.83,2.925
25,0,302.815,-84.149,11.119
25,1,315.032,-89.793,11.739
25,2,303.968,-104.847,-15.077
25,3,291.864,-99.461,-19.175
25,4,301.667,-102.586,-19.25
25,5,319.198,-82.568,-11.775
25,6,305.667,-103.145,3.322
25,7,307.333,-70.535,-12.415
25,8,307.027,-83.749,16.857
25,9,297.707,-91.743,-18.417
25,10,293.21,-100.228,10.92
25,11,318.721,-79.592,-5.373
25,12,290.292,-82.921,-5.476
25,13,321.138,-91.757,6.443
25,14,304.745,-81.961,6.819
25,15,299.82,-99.254,3.969
25,16,290.518,-92.779,-7.791
25,17,307.893,-82.401,-12.81
25,18,285.183,-77.793,0.497
25,19,299.933,-72.13,3.206
26,0,314.044,-86.882,13.013
26,1,329.431,-91.655,12.039
26,2,317.061,-102.592,-15.005
26,3,303.304,-96.404,-18.695
26,4,314.739,-106.072,-20.183
26,5,332.575,-80.559,-12.965
26,6,319.349,-100.343,3.929
26,7,319.782,-73.848,-12.241
26,8,318.304,-83.705,18.429
26,9,309.675,-94.123,-19.236
26,10,305.348,-98.131,10.517
26,11,331.802,-83.061,-3.884
26,12,302.025,-86.328,-5.592
26,13,334.725,-89.238,6.291
26,14,317.49,-80.322,7.558
26,15,312.087,-101.894,5.069
26,16,301.536,-91.616,-7.507
26,17,320.6,-81.951,-14.054
26,18,296.166,-75.726,1.017
26,19,311.739,-75.785,3.609
27,0,326.033,-89.892,14.953
27,1,342.531,-93.902,12.425
27,2,330.682,-100.349,-14.605
27,3,314.927,-93.206,-18.305
27,4,327.512,-108.931,-20.975
27,5,346.537,-79.296,-14.231
27,6,332.528,-99.581,4.436
27,7,332.871,-77.87,-12.208
27,8,330.142,-79.585,20.17
27,9,320.832,-96.255,-20.119
27,10,315.514,-93.327,10.229
27,11,345.436,-85.928,-2.594
27,12,314.591,-89.133,-5.684
27,13,347.186,-87.758,6.031
27,14,329.835,-78.521,8.378
27,15,323.389,-104.828,5.987
27,16,311.706,-89.122,-7.245
27,17,333.131,-81.558,-15.5
27,18,307.297,-74.779,1.497
27,19,323.869,-78.478,3.824
28,0,337.476,-92.08,16.945
28,1,355.369,-96.97,12.657
28,2,344.542,-98.418,-13.891
28,3,326.906,-90.469,-18.035
28,4,339.683,-111.005,-21.445
28,5,360.187,-77.136,-15.345
28,6,345.222,-98.565,5.07
28,7,344.909,-79.386,-12.076
28,8,342.333,-78.141,21.683
28,9,334.173,-97.333,-21.142
28,10,327.951,-91.912,10.224
28,11,358.989,-90.709,-1.732
28,12,326.491,-91.936,-5.327
28,13,361.363,-85.653,5.867
28,14,341.466,-77.095,8.981
28,15,334.851,-107.1,6.908
28,16,321.65,-87.163,-6.939
28,17,346.107,-81.247,-16.869
28,18,318.528,-73.785,1.683
28,19,336.159,-81.845,4.029
29,0,349.183,-95.037,18.746
29,1,369.45,-99.581,12.806
29,2,356.739,-96.76,-13.335
29,3,337.54,-88.453,-17.841
29,4,352.866,-111.727,-21.793
29,5,373.589,-76.98,-16.095
29,6,358.369,-96.337,5.514
29,7,358.317,-82.076,-11.594
29,8,354.326,-76.868,23.068
29,9,346.874,-99.68,-21.836
29,10,340.035,-90.313,10.208
29,11,371.954,-92.802,-0.974
29,12,339.175,-93.625,-4.901
29,13,373.871,-83.888,5.777
29,14,354.57,-75.367,9.569
