time_s,nodeId,x,y,z
18,0,0.0204039,0.00660787,0.00697727
18,1,1.8113,0.127791,0.206522
18,2,2.00396,0.0215743,0.006544
18,3,2.99771,0.0926331,0.0354319
18,4,4.01331,0.0938746,0.0359589
18,5,5.24829,2.50824,7.84371
18,6,5.99474,0.118756,0.0930194
18,7,7.01198,0.10481,0.050416
18,8,8.0124,0.161757,0.717781
18,9,-0.651608,0.923202,0.741998
18,10,0.191968,0.747477,4.30853
18,11,0.719865,2.46194,3.35194
18,12,1.65101,1.22133,2.35986
18,13,2.99659,1.04162,0.0431461
18,14,-0.949069,-0.0380231,18.5219
19,0,0.0204039,0.00660787,0.00697727
19,1,1.8113,0.127791,0.206522
19,2,2.00396,0.0215743,0.006544
19,3,2.99771,0.0926331,0.0354319
19,4,4.01331,0.0938746,0.0359589
19,5,5.24829,2.50824,7.84371
19,6,5.99474,0.118756,0.0930194
19,7,7.01198,0.10481,0.050416
19,8,8.01726,0.156912,0.436723
19,9,-0.651608,0.923202,0.741998
19,10,0.191968,0.747477,4.30853
19,11,0.719865,2.46194,3.35194
19,12,1.65101,1.22133,2.35986
19,13,2.99659,1.04162,0.0431461
19,14,-0.948771,-0.0289713,14.2431
20,0,0.0204039,0.00660787,0.00697727
20,1,1.8113,0.127791,0.206522
20,2,2.00396,0.0215743,0.006544
20,3,2.99771,0.0926331,0.0354319
20,4,4.01331,0.0938746,0.0359589
20,5,5.24829,2.50824,7.84371
20,6,5.99474,0.118756,0.0930194
20,7,7.01198,0.10481,0.050416
20,8,8.02212,0.152066,0.155665
20,9,-0.651608,0.923202,0.741998
20,10,0.191968,0.747477,4.30853
20,11,0.719865,2.46194,3.35194
20,12,1.65101,1.22133,2.35986
20,13,2.99659,1.04162,0.0431461
20,14,-0.948041,-0.0196753,8.05862
21,0,0.0204039,0.00660787,0.00697727
21,1,1.8113,0.127791,0.206522
21,2,2.00396,0.0215743,0.006544
21,3,2.99771,0.0926331,0.0354319
21,4,4.01331,0.0938746,0.0359589
21,5,5.24829,2.50824,7.84371
21,6,5.99474,0.118756,0.0930194
21,7,7.01198,0.10481,0.050416
21,8,8.02513,0.149899,0.0779502
21,9,-0.651608,0.923202,0.741998
21,10,0.191968,0.747477,4.30853
21,11,0.719865,2.46194,3.35194
21,12,1.65101,1.22133,2.35986
21,13,2.99659,1.04162,0.0431461
21,14,-0.94731,-0.0103793,1.87409
22,0,0.0204039,0.00660787,0.00697727
22,1,1.8113,0.127791,0.206522
22,2,2.00396,0.0215743,0.006544
22,3,2.99771,0.0926331,0.0354319
22,4,4.01331,0.0938746,0.0359589
22,5,5.24829,2.50824,7.84371
22,6,5.99474,0.118756,0.0930194
22,7,7.01198,0.10481,0.050416
22,8,8.0275,0.148672,0.0716805
22,9,-0.651608,0.923202,0.741998
22,10,0.191968,0.747477,4.30853
22,11,0.719865,2.46194,3.35194
22,12,1.65101,1.22133,2.35986
22,13,2.99659,1.04162,0.0431461
22,14,-0.952479,-0.00964684,-0.0205039
23,0,0.0204039,0.00660787,0.00697727
23,1,1.8113,0.127791,0.206522
23,2,2.00396,0.0215743,0.006544
23,3,2.99771,0.0926331,0.0354319
23,4,4.01331,0.0938746,0.0359589
23,5,5.24829,2.50824,7.84371
23,6,5.99474,0.118756,0.0930194
23,7,7.01198,0.10481,0.050416
23,8,8.02986,0.147446,0.0654109
23,9,-0.651608,0.923202,0.741998
23,10,0.191968,0.747477,4.30853
23,11,0.719865,2.46194,3.35194
23,12,1.65101,1.22133,2.35986
23,13,2.99659,1.04162,0.0431461
23,14,-0.960274,-0.0127259,-0.00570223
24,0,0.0204039,0.00660787,0.00697727
24,1,1.8113,0.127791,0.206522
24,2,2.00396,0.0215743,0.006544
24,3,2.99771,0.0926331,0.0354319
24,4,4.01331,0.0938746,0.0359589
24,5,5.24829,2.50824,7.84371
24,6,5.99474,0.118756,0.0930194
24,7,7.01198,0.10481,0.050416
24,8,8.02515,0.148568,0.0662737
24,9,-0.651608,0.923202,0.741998
24,10,0.191968,0.747477,4.30853
24,11,0.719865,2.46194,3.35194
24,12,1.65101,1.22133,2.35986
24,13,2.99659,1.04162,0.0431461
24,14,-0.968069,-0.015805,0.00909942
25,0,0.0204039,0.00660787,0.00697727
25,1,1.8113,0.127791,0.206522
25,2,2.00396,0.0215743,0.006544
25,3,2.99771,0.0926331,0.0354319
25,4,4.01331,0.0938746,0.0359589
25,5,5.24829,2.50824,7.84371
25,6,5.99474,0.118756,0.0930194
25,7,7.01198,0.10481,0.050416
25,8,8.01795,0.150515,0.0696425
25,9,-0.651608,0.923202,0.741998
25,10,0.191968,0.747477,4.30853
25,11,0.719865,2.46194,3.35194
25,12,1.65101,1.22133,2.35986
25,13,2.99659,1.04162,0.0431461
25,14,-0.970112,-0.0149342,0.0155043
26,0,0.0204039,0.00660787,0.00697727
26,1,1.8113,0.127791,0.206522
26,2,2.00396,0.0215743,0.006544
26,3,2.99771,0.0926331,0.0354319
26,4,4.01331,0.0938746,0.0359589
26,5,5.24829,2.50824,7.84371
26,6,5.99474,0.118756,0.0930194
26,7,7.01198,0.10481,0.050416
26,8,8.01075,0.152462,0.0730113
26,9,-0.651608,0.923202,0.741998
26,10,0.191968,0.747477,4.30853
26,11,0.719865,2.46194,3.35194
26,12,1.65101,1.22133,2.35986
26,13,2.99659,1.04162,0.0431461
26,14,-0.969593,-0.0123052,0.018172
27,0,0.0204039,0.00660787,0.00697727
27,1,1.8113,0.127791,0.206522
27,2,2.00396,0.0215743,0.006544
